Dataset,Method,Hardness,Spearman Rho,p-value,low_recall
sift1m_A3_12_12_12_zipf_0.0_0.5_0.8_0.0_0.0_0.0,rwalks,selectivity,0.6484848484848483,0.04254012768448945,0
sift1m_A3_12_12_12_zipf_0.0_0.5_0.8_0.0_0.0_0.0,rwalks,correlation,0.07878787878787878,0.8287173946974606,0
sift1m_A3_12_12_12_zipf_0.0_0.5_0.8_0.0_0.0_0.0,ACORN,Post_Hardness,-0.9999999999999999,6.646897422032013e-64,0
sift1m_A3_12_12_12_zipf_0.0_0.5_0.8_0.0_0.0_0.0,ACORN,selectivity,0.9999999999999999,6.646897422032013e-64,0
sift1m_A3_12_12_12_zipf_0.0_0.5_0.8_0.0_0.0_0.0,ACORN,correlation,0.13939393939393938,0.7009318849100584,0
sift1m_A3_12_12_12_zipf_0.0_0.5_0.8_0.0_0.0_0.0,ung,Post_Hardness,0.9878787878787878,9.307459988955517e-08,0
sift1m_A3_12_12_12_zipf_0.0_0.5_0.8_0.0_0.0_0.0,ung,selectivity,-0.9393939393939393,5.484052998513666e-05,0
sift1m_A3_12_12_12_zipf_0.0_0.5_0.8_0.0_0.0_0.0,ung,correlation,0.006060606060606061,0.9867429111949892,0
sift1m_A3_12_12_12_zipf_0.0_0.5_0.8_0.0_0.0_0.0,pre_filter,Post_Hardness,0.9272727272727272,0.00011203450639397582,0
sift1m_A3_12_12_12_zipf_0.0_0.5_0.8_0.0_0.0_0.0,pre_filter,selectivity,-0.9393939393939393,5.484052998513666e-05,0
sift1m_A3_12_12_12_zipf_0.0_0.5_0.8_0.0_0.0_0.0,pre_filter,correlation,-0.35757575757575755,0.3103760917056799,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,Post_Hardness,-0.9878787878787878,9.307459988955517e-08,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,selectivity,0.9515151515151514,2.279854920641689e-05,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,correlation,0.2121212121212121,0.5563057751029299,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,nhq,Post_Hardness,-0.8909090909090909,0.0005421442248338665,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,nhq,selectivity,0.13939393939393938,0.7009318849100584,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,nhq,correlation,0.16363636363636364,0.6514773427962428,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,Post_Hardness,-0.8666666666666665,0.0011735381801554687,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,selectivity,0.16363636363636364,0.6514773427962428,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,correlation,0.7818181818181817,0.007547007781067878,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,Post_Hardness,-0.9999999999999999,6.646897422032013e-64,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,selectivity,0.8303030303030302,0.0029402270232795065,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,correlation,0.13939393939393938,0.7009318849100584,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,ung,Post_Hardness,0.9636363636363635,7.320974809529922e-06,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,ung,selectivity,-0.8060606060606059,0.004862061101964606,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,ung,correlation,0.11515151515151514,0.7514196523258483,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,Post_Hardness,0.9393939393939393,5.484052998513666e-05,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,selectivity,-0.9878787878787878,9.307459988955517e-08,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,correlation,-0.01818181818181818,0.9602404181286243,0
gist1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,Post_Hardness,-0.9999999999999999,6.646897422032013e-64,0
gist1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,selectivity,0.9999999999999999,6.646897422032013e-64,0
gist1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,correlation,0.13939393939393938,0.7009318849100584,0
gist1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,nhq,Post_Hardness,-0.9393939393939393,5.484052998513666e-05,0
gist1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,nhq,selectivity,0.7818181818181817,0.007547007781067878,0
gist1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,nhq,correlation,0.2606060606060606,0.4670890543863402,0
gist1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,Post_Hardness,-0.6727272727272726,0.0330412225454377,0
gist1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,selectivity,0.6848484848484848,0.02888279750673276,0
gist1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,correlation,0.19999999999999998,0.5795840000000001,0
gist1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,Post_Hardness,-0.9636363636363635,7.320974809529922e-06,0
gist1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,selectivity,0.8787878787878788,0.0008138621117322101,0
gist1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,correlation,0.06666666666666665,0.8548130882487426,0
gist1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ung,Post_Hardness,0.9999999999999999,6.646897422032013e-64,0
gist1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ung,selectivity,-0.9999999999999999,6.646897422032013e-64,0
gist1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ung,correlation,0.11515151515151514,0.7514196523258483,0
gist1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,Post_Hardness,0.9878787878787878,9.307459988955517e-08,0
gist1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,selectivity,-0.9999999999999999,6.646897422032013e-64,0
gist1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,correlation,0.11515151515151514,0.7514196523258483,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,post_filter,Post_Hardness,-0.9999999999999999,6.646897422032013e-64,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,post_filter,selectivity,0.9999999999999999,6.646897422032013e-64,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,post_filter,correlation,0.8787878787878788,0.0008138621117322101,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,nhq,Post_Hardness,-0.8060606060606059,0.004862061101964606,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,nhq,selectivity,0.3939393939393939,0.25999776683488757,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,nhq,correlation,0.9393939393939393,5.484052998513666e-05,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,rwalks,Post_Hardness,-0.8060606060606059,0.004862061101964606,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,rwalks,selectivity,0.7212121212121211,0.018573155089460208,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,rwalks,correlation,0.9151515151515152,0.0002044724061488323,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,ACORN,Post_Hardness,-0.8666666666666665,0.0011735381801554687,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,ACORN,selectivity,0.7696969696969697,0.009221952722215994,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,ACORN,correlation,0.9272727272727272,0.00011203450639397582,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,ung,Post_Hardness,0.9999999999999999,6.646897422032013e-64,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,ung,selectivity,-0.9999999999999999,6.646897422032013e-64,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,ung,correlation,-0.6242424242424242,0.053717767217167395,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,pre_filter,Post_Hardness,0.9999999999999999,6.646897422032013e-64,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,pre_filter,selectivity,-0.9999999999999999,6.646897422032013e-64,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,pre_filter,correlation,-0.5878787878787878,0.07387770688865801,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,Post_Hardness,-0.9878787878787878,9.307459988955517e-08,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,selectivity,0.9393939393939393,5.484052998513666e-05,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,correlation,0.4787878787878787,0.1615229280174558,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,nhq,Post_Hardness,-0.8303030303030302,0.0029402270232795065,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,nhq,selectivity,0.8909090909090909,0.0005421442248338665,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,nhq,correlation,0.2121212121212121,0.5563057751029299,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,Post_Hardness,-0.6727272727272726,0.0330412225454377,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,selectivity,-0.06666666666666665,0.8548130882487426,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,correlation,0.8666666666666665,0.0011735381801554687,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,Post_Hardness,-0.9999999999999999,6.646897422032013e-64,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,selectivity,0.7818181818181817,0.007547007781067878,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,correlation,0.09090909090909088,0.8027717312071619,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,ung,Post_Hardness,0.9999999999999999,6.646897422032013e-64,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,ung,selectivity,-0.8545454545454544,0.0016368033159867143,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,ung,correlation,0.2121212121212121,0.5563057751029299,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,Post_Hardness,0.8303030303030302,0.0029402270232795065,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,selectivity,-0.8424242424242423,0.0022200312259168407,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,correlation,-0.24848484848484845,0.48877630451924314,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,Post_Hardness,-0.9999999999999999,6.646897422032013e-64,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,selectivity,0.9999999999999999,6.646897422032013e-64,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,correlation,0.23636363636363633,0.5108853175152002,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,nhq,Post_Hardness,-0.9636363636363635,7.320974809529922e-06,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,nhq,selectivity,0.9757575757575757,1.4675461874042197e-06,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,nhq,correlation,0.17575757575757575,0.6271883447764844,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,Post_Hardness,-0.6606060606060605,0.03758837757140939,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,selectivity,0.6606060606060605,0.03758837757140939,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,correlation,0.17575757575757575,0.6271883447764844,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,Post_Hardness,-0.9636363636363635,7.320974809529922e-06,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,selectivity,0.8787878787878788,0.0008138621117322101,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,correlation,0.09090909090909088,0.8027717312071619,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ung,Post_Hardness,0.9999999999999999,6.646897422032013e-64,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ung,selectivity,-0.9999999999999999,6.646897422032013e-64,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ung,correlation,0.0303030303030303,0.9337729580941466,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,Post_Hardness,0.9878787878787878,9.307459988955517e-08,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,selectivity,-0.6969696969696969,0.02509667588225183,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,correlation,0.2727272727272727,0.44583834154275137,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,post_filter,Post_Hardness,-0.9999999999999999,6.646897422032013e-64,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,post_filter,selectivity,0.9999999999999999,6.646897422032013e-64,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,post_filter,correlation,0.9272727272727272,0.00011203450639397582,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,nhq,Post_Hardness,-0.9636363636363635,7.320974809529922e-06,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,nhq,selectivity,0.7696969696969697,0.009221952722215994,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,nhq,correlation,0.9151515151515152,0.0002044724061488323,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,rwalks,Post_Hardness,-0.9030303030303028,0.00034361219776328223,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,rwalks,selectivity,0.8181818181818182,0.0038149200825507135,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,rwalks,correlation,0.9151515151515152,0.0002044724061488323,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,ACORN,Post_Hardness,-0.7818181818181817,0.007547007781067878,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,ACORN,selectivity,0.709090909090909,0.021665923367532435,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,ACORN,correlation,0.9999999999999999,6.646897422032013e-64,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,ung,Post_Hardness,0.9999999999999999,6.646897422032013e-64,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,ung,selectivity,-0.9999999999999999,6.646897422032013e-64,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,ung,correlation,-0.8909090909090909,0.0005421442248338665,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,pre_filter,Post_Hardness,0.7818181818181817,0.007547007781067878,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,pre_filter,selectivity,-0.6242424242424242,0.053717767217167395,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,pre_filter,correlation,-0.8545454545454544,0.0016368033159867143,0
arxiv,post_filter,Post_Hardness,-0.9878787878787878,9.307459988955517e-08,0
arxiv,post_filter,selectivity,0.9878787878787878,9.307459988955517e-08,0
arxiv,post_filter,correlation,0.6727272727272726,0.0330412225454377,0
arxiv,nhq,Post_Hardness,-0.8909090909090909,0.0005421442248338665,0
arxiv,nhq,selectivity,0.6484848484848483,0.04254012768448945,0
arxiv,nhq,correlation,-0.2727272727272727,0.44583834154275137,0
arxiv,rwalks,Post_Hardness,-0.8787878787878788,0.0008138621117322101,0
arxiv,rwalks,selectivity,0.9878787878787878,9.307459988955517e-08,0
arxiv,rwalks,correlation,-0.0303030303030303,0.9337729580941466,0
arxiv,ACORN,Post_Hardness,-0.9151515151515152,0.0002044724061488323,0
arxiv,ACORN,selectivity,0.9636363636363635,7.320974809529922e-06,0
arxiv,ACORN,correlation,0.2121212121212121,0.5563057751029299,0
arxiv,ung,Post_Hardness,0.9030303030303028,0.00034361219776328223,0
arxiv,ung,selectivity,-0.6626170426112704,0.03680640234866444,0
arxiv,ung,correlation,-0.24316221747202585,0.49843371099777956,0
arxiv,pre_filter,Post_Hardness,0.9878787878787878,9.307459988955517e-08,0
arxiv,pre_filter,selectivity,-0.9878787878787878,9.307459988955517e-08,0
arxiv,pre_filter,correlation,0.11515151515151514,0.7514196523258483,0
LAION1M,post_filter,Post_Hardness,-0.9999999999999999,6.646897422032013e-64,0
LAION1M,post_filter,selectivity,0.9999999999999999,6.646897422032013e-64,0
LAION1M,post_filter,correlation,0.9878787878787878,9.307459988955517e-08,0
LAION1M,nhq,Post_Hardness,-0.942857142857143,0.004804664723032055,0
LAION1M,nhq,selectivity,0.942857142857143,0.004804664723032055,0
LAION1M,nhq,correlation,-0.8787878787878788,0.0008138621117322101,0
LAION1M,rwalks,Post_Hardness,-0.9515151515151514,2.279854920641689e-05,0
LAION1M,rwalks,selectivity,0.9030303030303028,0.00034361219776328223,0
LAION1M,rwalks,correlation,0.9757575757575757,1.4675461874042197e-06,0
LAION1M,ACORN,Post_Hardness,-0.9999999999999999,6.646897422032013e-64,0
LAION1M,ACORN,selectivity,0.9515151515151514,2.279854920641689e-05,0
LAION1M,ACORN,correlation,0.9878787878787878,9.307459988955517e-08,0
LAION1M,ung,Post_Hardness,0.9878787878787878,9.307459988955517e-08,0
LAION1M,ung,selectivity,-0.9636363636363635,7.320974809529922e-06,0
LAION1M,ung,correlation,-0.8060606060606059,0.004862061101964606,0
LAION1M,pre_filter,Post_Hardness,0.9999999999999999,6.646897422032013e-64,0
LAION1M,pre_filter,selectivity,-0.9999999999999999,6.646897422032013e-64,0
LAION1M,pre_filter,correlation,-0.8303030303030302,0.0029402270232795065,0
tripclick,post_filter,Post_Hardness,-0.9636363636363635,7.320974809529922e-06,0
tripclick,post_filter,selectivity,0.9757575757575757,1.4675461874042197e-06,0
tripclick,post_filter,correlation,-0.9878787878787878,9.307459988955517e-08,0
tripclick,nhq,Post_Hardness,-0.9393939393939393,5.484052998513666e-05,0
tripclick,nhq,selectivity,0.9515151515151514,2.279854920641689e-05,0
tripclick,nhq,correlation,-0.9515151515151514,2.279854920641689e-05,0
tripclick,rwalks,Post_Hardness,-0.9757575757575757,1.4675461874042197e-06,0
tripclick,rwalks,selectivity,0.8909090909090909,0.0005421442248338665,0
tripclick,rwalks,correlation,-0.9030303030303028,0.00034361219776328223,0
tripclick,ACORN,Post_Hardness,-0.8060606060606059,0.004862061101964606,0
tripclick,ACORN,selectivity,0.35757575757575755,0.3103760917056799,0
tripclick,ACORN,correlation,-0.9878787878787878,9.307459988955517e-08,0
tripclick,ung,Post_Hardness,0.4666666666666666,0.17393859716506632,0
tripclick,ung,selectivity,-0.12727272727272726,0.7260570147627894,0
tripclick,ung,correlation,-0.6,0.06668799999999996,0
tripclick,pre_filter,Post_Hardness,0.9999999999999999,6.646897422032013e-64,0
tripclick,pre_filter,selectivity,-0.9999999999999999,6.646897422032013e-64,0
tripclick,pre_filter,correlation,0.9757575757575757,1.4675461874042197e-06,0
yfcc,post_filter,Post_Hardness,-0.9515151515151514,2.279854920641689e-05,0
yfcc,post_filter,selectivity,0.9636363636363635,7.320974809529922e-06,0
yfcc,post_filter,correlation,-0.9878787878787878,9.307459988955517e-08,0
yfcc,nhq,Post_Hardness,-0.8909090909090909,0.0005421442248338665,0
yfcc,nhq,selectivity,0.8909090909090909,0.0005421442248338665,0
yfcc,nhq,correlation,-0.8909090909090909,0.0005421442248338665,0
yfcc,rwalks,Post_Hardness,-0.9999999999999999,6.646897422032013e-64,0
yfcc,rwalks,selectivity,0.9999999999999999,6.646897422032013e-64,0
yfcc,rwalks,correlation,-0.9878787878787878,9.307459988955517e-08,0
yfcc,ACORN,Post_Hardness,-0.9878787878787878,9.307459988955517e-08,0
yfcc,ACORN,selectivity,0.9878787878787878,9.307459988955517e-08,0
yfcc,ACORN,correlation,-0.9636363636363635,7.320974809529922e-06,0
yfcc,ung,Post_Hardness,0.6121212121212121,0.05997214247725524,0
yfcc,ung,selectivity,-0.8666666666666665,0.0011735381801554687,0
yfcc,ung,correlation,-0.12727272727272726,0.7260570147627894,0
yfcc,pre_filter,Post_Hardness,0.8424242424242423,0.0022200312259168407,0
yfcc,pre_filter,selectivity,-0.7696969696969697,0.009221952722215994,0
yfcc,pre_filter,correlation,0.9757575757575757,1.4675461874042197e-06,0
